session_idx,conversation_id,selected_action,reward,overall_score,improvement_rate,ucb_clarity,ucb_active_listening,ucb_call_to_action,ucb_friendliness
0,7cefe176-fda4-40ec-b274-2f9b93f0c7b0,clarity,0.0,41.25,0.0,2.00660291709291,2.00660291709291,2.00660291709291,2.00660291709291
1,2be60ca0-3151-4e80-9ba5-db7741a34178,clarity,0.05600000000000001,55.25,0.14,2.1083026525072244,2.1083026525072244,2.1083026525072244,2.1083026525072244
2,d5e9a4a5-bec7-497b-88d6-a49d64f5660a,active_listening,0.05600000000000001,69.25,0.14,0.8716040687047516,1.9027804663058638,1.9027804663058638,1.9027804663058638
3,41943545-102d-497d-bbef-3f3d9ec7efc7,call_to_action,-0.137,35.0,-0.3425,0.9922567077442027,1.0532137594816318,1.8715327319057453,1.8715327319057453
4,2884d591-47de-4b0b-b1fc-30736324996d,friendliness,0.062,50.5,0.155,0.9766955505168043,1.0483102989944781,1.0025193737638658,2.07896443113331
5,f857734e-6758-4fd3-9c69-a7af40c3d17f,active_listening,0.032,58.5,0.08,0.9822713743421241,1.0581457192866845,1.0114523229698316,0.9984223602297171
6,02161db8-e371-48b0-83e5-a76de6f61fab,friendliness,-0.016,54.5,-0.04,1.006573125193154,0.7715533833193167,0.9875292596975286,1.0125510997035336
7,388d8cba-1901-44d5-aa45-55a750fab736,clarity,-0.17700000000000002,10.25,-0.4425,1.1037500720660727,0.9364331690807847,0.8596892246092771,0.8504561399986328
8,020b561a-3e01-4e0c-9c94-7ebaaf699fc8,call_to_action,0.021,15.5,0.0525,0.7066480250937769,0.8295021923987264,0.9243264697096524,0.7824421467576752
9,51422aed-83d6-48b1-96e3-9a43e8413310,active_listening,-0.022000000000000002,10.0,-0.055,0.7439256200719229,0.9075577826146767,0.7062811918385394,0.8474629713212866
10,6bf2a1df-8981-4efd-b5fe-979944cfbce3,call_to_action,0.034999999999999996,18.75,0.0875,0.7785677537819173,0.6937059986192018,0.8283212226504506,0.7972276359480155
11,2e7c547a-551c-4738-b8cb-bf3c5f8745ff,friendliness,-0.011000000000000001,16.0,-0.0275,0.7872436700956955,0.7465814998861665,0.6679224070378401,0.8742277301263621
12,436cadc9-f54a-4966-a0b9-27beffed1308,clarity,-0.024,10.0,-0.06,0.7517270751450142,0.7323788574249044,0.6395131015113106,0.6741008879414151
13,d5138bca-4415-4525-9a15-6bb3e1f70871,active_listening,0.0,10.0,0.0,0.6339646783444444,0.7651246937661841,0.694429612090447,0.6941249240378685
14,8bf58707-d176-4f39-8c0b-7d1c3efc238e,call_to_action,0.133,43.25,0.3325,0.7931837473042289,0.7068214174821231,0.8113570985380372,0.7936107554199242
15,0ef66e19-a47b-4bc4-8c9a-59218ffe2d32,friendliness,-0.07700000000000001,24.0,-0.1925,0.6806119159834841,0.692429130250518,0.6860029305261639,0.7815685587438637
16,b0f09f7a-a141-4759-9c50-7725480aaf49,clarity,-0.03900000000000001,14.25,-0.0975,0.7467187919973413,0.7286674765353398,0.7151401106354034,0.6411676567454379
17,cb6708f1-5971-4784-83ff-34d335219079,active_listening,0.023000000000000003,20.0,0.0575,0.6551873674513328,0.7727270188456243,0.7640857886621821,0.7099169648735569
18,eabd3ed4-0749-4f94-9ed8-2eb69bb86c77,call_to_action,-0.03900000000000001,10.25,-0.0975,0.7440600527258996,0.7879007959876273,0.9001989477025505,0.7904718307043179
